# logM1, logM_cut, alpha, alpha_s, alpha_c, logsigma, kappa, B_cen, B_sat
13.47910,12.51104,1.34814,0.91930,0.07114,-1.34694,1.13083,-0.33250,-0.84230
13.88118,13.18858,1.49015,1.27181,0.33044,-0.79432,1.35199,0.17928,-0.08094
13.97048,12.52007,0.90397,1.23272,0.20873,-2.63631,1.15328,0.26975,-0.96071
13.31795,12.78371,1.17350,0.75949,0.28413,-0.84566,0.91680,-0.15386,0.12010
13.88048,12.41575,0.83067,1.07785,0.31604,-1.47682,0.87635,-0.32391,-0.15877
13.43392,12.66999,0.90968,0.86302,0.37378,-1.04162,0.15779,-0.26948,-0.31661
13.39766,12.51254,0.96227,1.20323,0.42007,-0.11854,0.78481,0.28178,-0.75921
13.32655,12.85347,0.82057,1.11764,0.49230,-1.26724,0.31951,0.01153,-0.17965
14.37610,13.22272,1.36946,1.24249,0.40039,-0.87123,0.90662,-0.42691,0.84039
13.32536,12.46153,0.75382,0.77855,0.03880,-1.90106,0.78303,0.03981,-0.33706
13.49453,12.64207,1.06371,1.27273,0.36222,-0.04481,0.80686,-0.14009,-0.40462
13.52878,13.20138,1.28016,0.80359,0.44108,-0.55785,0.04241,0.11040,0.70657
13.83352,12.69555,1.21108,0.71136,0.34957,-1.75983,0.86214,-0.21718,-0.62323
13.57866,12.98301,0.71310,1.21564,0.25759,-0.44894,1.18043,-0.38012,0.19177
13.97637,13.01602,0.99136,0.92364,0.01920,-1.95527,0.66533,-0.32735,0.15378
13.83679,13.26985,0.74095,1.24042,0.06401,-1.35981,0.70215,0.18361,-0.78220
14.36924,12.47766,1.40163,1.08813,0.44513,-1.64805,0.71115,0.45450,-0.25390
13.35678,12.72275,1.21589,0.88788,0.38168,-1.54717,0.50377,-0.43448,0.07237
13.94107,12.64337,0.81330,1.00140,0.08928,-1.82755,0.63730,0.39697,0.33739
14.02146,12.75598,1.11232,1.03278,0.36251,-0.88928,0.14695,0.37099,-0.50134
14.21717,13.24289,1.37825,1.06723,0.35618,-0.05044,0.02741,0.21465,-0.61834
14.15897,12.92061,1.01863,1.10959,0.22798,-2.34946,1.23482,0.26806,-0.29309
14.12389,12.80408,0.87462,0.85058,0.23879,-1.29935,0.79793,0.30001,0.26018
14.05376,13.02216,1.42257,0.86045,0.08838,-0.31349,1.19935,-0.14625,0.71086
13.22341,13.26565,1.20707,0.82566,0.28336,-0.74661,1.28008,0.47524,0.94193
13.75424,12.87222,0.94666,0.87421,0.37504,-2.98738,0.35129,0.21479,0.19717
13.63114,13.18687,1.42202,1.17026,0.41017,-1.45753,0.53328,-0.16674,0.75897
13.51066,13.12876,1.39640,0.76640,0.43953,-2.82010,0.93618,-0.43137,-0.11444
14.02238,13.24525,1.43849,0.75579,0.05980,-1.79978,1.03439,0.03325,0.47619
13.74410,13.23266,0.98972,1.24455,0.33575,-0.79858,1.25804,0.25522,0.96966
14.38183,12.56643,1.34897,0.81197,0.19753,-1.40469,0.88992,-0.36216,-0.11720
14.03347,13.24274,0.96746,1.29192,0.46371,-0.48017,0.50270,0.24105,0.52020
13.41922,12.46924,0.96045,1.16260,0.48558,-1.01839,0.18431,0.30076,-0.28620
14.21863,12.93786,1.26535,1.06025,0.30581,-0.87136,0.92312,-0.44356,-0.95806
14.12611,12.64131,0.87144,0.82128,0.33979,-0.04491,0.78984,-0.47959,0.03345
13.86459,13.08897,0.95578,0.70207,0.40121,-0.19904,0.05840,-0.35915,-0.68876
13.90401,13.15550,1.46313,0.84962,0.03691,-0.66231,1.46736,-0.36639,-0.97806
13.35677,12.82735,1.31979,0.87619,0.03356,-2.79117,1.07334,0.24996,0.95922
13.35655,12.65547,1.39591,0.91232,0.01955,-1.88916,0.66392,-0.48779,-0.70595
13.44948,12.68599,0.76062,1.28149,0.42979,-0.13431,0.49646,-0.13397,-0.23425
13.94123,12.86604,0.77589,0.81851,0.46760,-0.17590,1.42334,0.24018,0.21389
13.85543,12.42037,0.93939,1.28759,0.14281,-2.76311,0.12888,-0.05144,-0.40358
13.41495,12.41689,0.96334,0.95941,0.23155,-2.19967,1.11683,0.35397,-0.93546
13.78960,13.16768,0.86810,0.82223,0.39656,-0.51347,0.07837,0.41175,-0.03287
14.39550,13.12395,1.38083,1.06563,0.39897,-0.60519,0.39066,-0.18412,-0.96368
14.11221,12.94240,1.38578,0.89569,0.32753,-2.78594,1.06977,-0.12555,0.84735
13.66027,13.12403,1.49066,0.99783,0.33284,-1.51701,1.16864,0.20003,0.21654
13.82970,12.87674,0.81161,1.14034,0.17263,-0.58761,0.81818,0.46904,-0.56405
14.39199,12.85695,1.03207,1.03959,0.30718,-2.55444,0.38859,0.38814,0.61804
14.04786,12.86839,1.12270,0.70772,0.39801,-1.00798,0.17123,0.08532,-0.41533
14.17236,12.53880,1.28375,0.86896,0.24547,-0.13423,0.49222,0.27415,0.47844
13.25056,12.47412,0.99936,1.08842,0.45302,-0.94366,0.15368,0.08470,-0.62580
13.49744,12.43481,1.46204,0.99443,0.21450,-2.68347,0.91457,0.14942,-0.53788
13.87623,13.29646,0.94816,0.93845,0.11921,-1.98768,1.33541,0.20730,0.92586
14.28449,12.42177,1.26025,1.27498,0.24528,-1.50110,1.43340,-0.01976,-0.78473
13.23662,12.47125,0.75157,0.82652,0.35625,-0.05515,0.98008,0.09104,-0.85355
14.25065,13.14645,1.30723,0.95805,0.21850,-1.64445,1.28537,-0.04469,0.28480
13.97850,12.40940,1.02560,1.20111,0.30633,-0.37683,0.69583,-0.01862,0.26843
13.26337,12.42110,1.40643,0.83923,0.27962,-1.61560,0.67036,0.27186,-0.61651
13.66191,12.69750,0.78776,1.08824,0.41569,-1.38485,0.22820,0.38469,-0.20327
13.77434,13.28777,0.77408,1.20893,0.10570,-1.52852,0.21145,0.28968,0.92319
13.78142,13.07974,0.81980,1.20724,0.29578,-0.58953,1.39678,0.46032,0.11854
14.11810,12.52812,1.44965,1.01379,0.46210,-1.81138,0.00253,0.00057,0.34679
14.28471,12.50848,0.88425,0.89705,0.02373,-1.34979,0.88126,-0.09210,0.84670
13.26219,13.24147,1.44293,0.95164,0.45115,-1.84130,1.29118,0.31983,0.66754
14.15812,12.70423,1.10222,0.98401,0.19162,-0.05243,0.61837,-0.35450,-0.83656
13.22875,12.51484,1.19393,0.87567,0.34669,-1.91234,1.16862,0.48481,0.16663
13.78951,12.84425,0.71127,0.97017,0.30961,-0.81323,1.09532,-0.07369,-0.83097
13.70966,12.80996,0.70188,1.05952,0.46821,-2.18308,0.22540,0.30471,0.38982
13.64009,13.00369,0.92307,1.03632,0.22051,-1.04400,1.36814,-0.30837,-0.54670
13.91364,12.49611,0.87013,0.75473,0.36414,-0.88306,1.35191,0.02844,-0.16358
14.37496,12.57840,1.29176,0.86897,0.20202,-0.18814,0.87654,0.46884,-0.48667
14.39223,13.09347,1.19725,0.72193,0.23242,-1.86359,1.14109,0.32876,-0.57264
13.41703,13.24622,1.03233,1.24336,0.04606,-2.05614,1.00429,-0.23933,0.07208
13.29840,13.28119,0.81363,0.98330,0.47678,-2.59671,0.84142,0.16563,0.95123
13.20885,12.82367,1.04121,1.07488,0.08328,-1.59045,0.84350,-0.40921,0.16289
14.28165,13.18529,1.24561,0.98861,0.00751,-1.57273,0.66051,0.36957,-0.07716
13.75239,12.53862,1.20105,1.16880,0.32114,-2.80679,0.33529,-0.06990,0.08739
14.14126,12.71335,1.22954,1.14094,0.16448,-2.90730,1.08980,0.21923,-0.04838
14.08476,13.16511,1.06733,0.81824,0.45166,-1.15603,0.14171,0.16015,0.23755
13.92562,13.28774,0.90514,1.19507,0.48632,-1.02497,0.09553,-0.14048,0.46712
14.03656,12.46430,1.31649,0.71259,0.41315,-0.04574,0.80243,-0.34672,-0.99237
13.79368,13.13690,1.12192,1.11796,0.35403,-1.85315,1.26662,-0.00625,-0.62548
13.29302,12.63360,1.20632,1.04095,0.42976,-2.59017,1.05848,-0.38817,0.94384
14.21450,12.96660,1.28159,0.85886,0.20437,-2.88217,0.49376,0.31429,0.22159
13.64695,13.11237,1.07958,1.12661,0.26366,-0.60291,0.23631,-0.31701,0.37272
13.28969,12.40082,0.82066,0.82749,0.11189,-0.17333,0.88504,-0.21179,-0.80991
14.08368,12.58384,1.32802,0.75552,0.36703,-1.63636,0.87481,0.16754,0.09038
13.81737,12.40222,1.18986,1.22250,0.30554,-0.67282,1.24112,-0.40584,0.65128
14.13181,12.84256,0.70645,1.01284,0.16590,-0.79748,0.37834,-0.18973,0.50678
14.38386,12.68673,1.43062,1.29343,0.19215,-1.22740,0.47087,0.21276,0.90155
13.36468,12.74253,1.37747,0.91675,0.14923,-0.07400,1.14360,-0.29167,0.63146
14.30689,13.29234,0.90844,1.04618,0.24248,-1.57095,0.85860,0.29691,0.27747
14.24126,12.51843,0.91199,0.98194,0.19278,-1.64300,0.49690,0.38310,0.62890
14.07045,12.88674,0.83915,0.92361,0.23233,-1.65799,0.87470,0.03090,-0.56357
13.65855,12.49447,1.49969,0.80755,0.09785,-2.35256,0.11766,0.05313,0.91217
13.38026,12.60584,1.43632,1.22750,0.35997,-0.20761,1.24162,-0.09734,0.84183
13.35467,12.90202,1.07776,1.28479,0.11213,-0.83594,0.52672,0.01045,-0.12747
13.53545,13.15438,1.06215,0.93530,0.13413,-2.98761,1.15764,0.25774,-0.15936
14.37293,12.80997,1.34545,1.05881,0.35128,-0.25119,0.37689,0.24583,-0.82157
13.27590,12.97930,1.48122,1.10633,0.20844,-1.43135,0.78563,-0.23387,0.16941
13.71261,13.25258,1.27208,0.78196,0.04410,-1.68362,1.02345,0.49969,0.23262
13.91825,12.66182,0.75226,1.25106,0.20493,-0.14623,0.40795,-0.26078,0.74313
13.52838,12.59881,0.83871,0.81355,0.44214,-0.67734,1.03029,-0.18623,0.23143
13.56089,13.07538,1.40134,1.04826,0.02877,-1.80801,0.22017,0.33426,-0.62702
13.67645,13.06716,1.32821,0.94391,0.30239,-1.66083,1.47083,0.22425,-0.88676
14.22253,12.73124,1.44619,1.15830,0.22252,-0.85544,0.58338,-0.32673,-0.63945
13.95958,12.69390,0.70299,0.86312,0.20178,-0.74925,0.44830,-0.19012,-0.47109
13.60087,12.45792,1.48303,0.98040,0.08285,-1.23564,0.29543,0.46706,0.38522
13.42623,12.98122,1.45729,1.12160,0.16539,-2.75692,0.46087,-0.08010,-0.29249
14.13453,13.13712,1.33450,0.79570,0.02402,-2.90899,1.41288,-0.21944,0.64915
14.09221,13.14828,0.86015,1.18466,0.13449,-0.09113,0.63840,0.20572,-0.29284
13.94761,12.57172,1.36780,0.92208,0.47359,-2.78784,1.39881,-0.34100,-0.79695
13.26860,13.08182,1.12993,0.77605,0.00811,-0.33551,0.81779,0.48588,0.03578
13.28321,12.72974,0.80646,1.26631,0.47985,-1.54125,0.43683,0.20446,-0.03235
14.05479,12.94924,0.99473,0.88380,0.38400,-2.60452,0.74521,-0.49574,0.81509
13.84473,12.61145,1.39280,1.25929,0.16325,-0.29578,0.37477,-0.00016,0.72971
13.92373,12.81726,1.11872,1.09184,0.06688,-0.51999,0.94710,-0.17001,-0.70215
13.68255,12.60643,1.40208,0.70505,0.19442,-2.81728,0.07487,-0.24618,-0.25519
13.65216,13.27463,1.26242,0.76868,0.41893,-2.15194,0.91897,-0.23845,0.28852
14.10530,12.43281,1.44809,0.70002,0.02692,-0.61895,0.74940,0.09908,0.82249
14.11414,12.94578,0.84778,1.17100,0.16989,-0.61527,1.33893,-0.26974,0.37856
14.15018,12.45215,1.33155,1.26661,0.28209,-0.11086,1.48536,-0.32403,-0.35284
13.63545,12.65208,1.36786,0.86734,0.38813,-1.31775,0.82199,-0.19192,0.90427
13.20560,12.81999,0.81909,1.29572,0.13334,-2.03124,0.46251,-0.06266,-0.17787
14.22808,12.63852,0.80686,0.73158,0.45843,-2.33898,1.31934,-0.04455,0.11212
13.99448,13.15061,1.40709,0.70665,0.18651,-2.62524,0.24613,0.21358,-0.50141
14.36385,12.81974,0.91289,1.03443,0.29709,-2.88304,0.46940,0.19544,0.46944
14.00528,12.74449,1.38582,1.05464,0.19490,-2.95762,1.07656,0.20024,-0.98276
13.48920,13.28283,1.42643,0.98530,0.11344,-2.96035,0.66853,-0.24156,-0.51326
14.38377,12.62316,1.37216,0.87177,0.03209,-2.59322,1.00549,-0.33166,0.26529
13.21558,12.62369,1.35479,1.21235,0.48145,-2.47434,0.68985,0.35695,-0.79526
13.56387,13.00321,0.72896,1.27551,0.01281,-1.78411,1.39835,0.31907,-0.06458
14.07828,12.82775,1.00650,1.29633,0.48041,-1.19927,0.29447,0.21231,0.36230
13.93264,13.02429,1.48225,1.20702,0.43727,-1.57986,0.74450,0.15298,0.91991
13.51018,13.21295,0.98766,1.03287,0.47783,-2.27516,1.18328,0.07149,0.23616
14.15535,13.20937,1.13873,0.93962,0.38274,-0.69073,1.21257,0.07882,-0.72127
14.04113,12.42552,1.11899,0.83587,0.00395,-2.26466,0.62910,0.43072,-0.33768
13.66700,12.79414,0.80569,1.27875,0.35384,-2.97810,1.20458,0.01620,0.36154
13.84207,12.46730,1.38992,0.80260,0.25723,-0.36925,0.29897,-0.05488,-0.49083
13.86000,12.75303,0.93054,1.15198,0.42447,-2.29348,0.96734,0.42883,0.11449
14.21426,13.10348,0.97364,0.87841,0.49605,-2.77673,0.44748,0.36537,0.11790
14.09645,12.46814,0.89868,0.96872,0.12653,-2.05372,0.55514,0.42032,0.12063
13.47631,12.53818,1.38238,0.82095,0.01678,-2.61802,1.17005,-0.03802,0.67396
13.81587,12.57866,0.88906,1.26528,0.25434,-2.00829,0.39492,0.41270,-0.52364
13.78335,12.90169,1.26841,1.12641,0.38543,-2.75841,0.81784,0.23346,0.52256
13.39831,13.16393,1.30822,1.28091,0.10014,-1.13864,0.14013,-0.40768,-0.71527
13.54752,13.26408,0.86789,1.09689,0.21497,-1.00395,1.28876,0.05817,-0.76730
13.35212,12.62478,0.99520,1.21517,0.04265,-2.99435,0.70463,0.01621,0.03304
13.74610,12.90440,1.32450,0.79753,0.06494,-2.12377,1.40964,-0.16462,-0.25751
13.36636,12.86633,1.03349,1.24267,0.25085,-0.35781,0.15746,0.13916,0.55767
14.29646,13.11443,1.21891,1.25347,0.33582,-2.24844,1.12745,-0.37847,-0.55873
13.96397,13.05710,0.72381,0.95478,0.43622,-1.34382,1.03270,0.12174,0.43802
14.01261,12.67917,1.28160,0.88204,0.07919,-1.40661,0.52481,-0.30587,-0.17680
13.42959,12.87799,1.18616,1.08312,0.27371,-1.34488,1.14893,0.12606,-0.43112
13.22260,13.14439,1.00117,1.12100,0.37229,-2.54158,0.45927,0.15066,0.22615
14.17872,13.27334,1.25884,1.09484,0.42427,-0.12002,0.67220,-0.04067,0.84458
14.25609,12.81065,0.74898,1.14199,0.39770,-1.01793,0.62445,-0.18358,0.53431
13.33660,12.94805,0.81762,0.72140,0.38518,-1.91703,0.83842,-0.42995,0.77821
14.00190,13.08288,0.86162,1.29000,0.28122,-0.92750,0.38455,0.41330,-0.51259
13.45927,12.47764,0.94238,1.00928,0.03343,-2.98157,0.15410,0.28452,0.57026
14.13127,12.41007,0.86777,1.25943,0.46807,-2.59490,1.22717,-0.26126,-0.43163
13.37527,13.17718,1.45773,0.91030,0.01730,-0.70804,0.81366,0.37981,-0.56820
13.54905,13.15160,1.28197,0.99904,0.15249,-1.48022,0.06175,0.13624,0.88310
13.69973,12.65170,0.71771,1.03056,0.32191,-1.19536,0.86086,-0.26278,-0.51590
14.28944,12.83343,0.93904,1.11456,0.48676,-1.39456,0.89183,0.13730,-0.84485
13.35371,13.18270,1.04808,0.78835,0.06909,-2.67721,0.48282,-0.02969,0.94197
13.82546,13.26808,1.02118,1.21227,0.28223,-2.82799,0.68447,-0.39423,-0.82495
13.59350,13.21968,0.77729,1.16739,0.25166,-2.09415,0.23406,0.29805,0.27000
14.25732,12.92265,1.44001,0.92090,0.25073,-1.51530,0.83306,0.33393,0.81493
13.23456,12.88253,1.37081,1.24579,0.47023,-0.56376,1.19210,0.37139,0.48514
13.83950,12.84767,1.28697,1.05499,0.40632,-0.67289,1.22913,-0.21842,-0.73992
13.38629,13.10198,1.25604,1.09655,0.24944,-2.55743,0.44083,-0.29535,-0.30692
13.42891,13.27633,1.40962,0.97905,0.30147,-0.96868,0.59618,-0.12570,-0.45861
13.93583,12.45889,1.04325,1.20626,0.26405,-0.70747,1.11370,-0.14519,-0.84628
13.31910,13.19094,1.00299,1.15495,0.28452,-2.60185,0.07596,-0.15717,0.32367
14.23706,12.73958,1.18207,0.84457,0.18865,-1.39689,0.33270,-0.43453,0.62163
13.31450,12.41951,1.38539,0.95522,0.14103,-1.00771,0.21475,-0.24761,-0.43901
14.09913,12.61787,1.45807,1.14369,0.07268,-1.41237,0.59570,0.00429,0.40542
13.74028,12.77429,1.06315,0.87444,0.26412,-1.29501,0.99038,0.23797,-0.13114
13.26223,12.90325,1.49420,0.87570,0.19879,-2.63604,0.47721,-0.25606,0.87636
14.17703,13.09796,0.70432,0.78027,0.21059,-1.85425,0.87886,0.20284,-0.26935
13.76489,13.24834,1.41914,1.29691,0.16442,-1.09475,0.76128,-0.06103,-0.40820
13.77747,12.67466,0.72642,0.83492,0.45194,-0.25296,0.90997,0.30506,0.39695
13.89419,12.85112,1.32444,0.86021,0.29535,-2.50072,1.17940,-0.17430,0.13167
13.28698,12.98637,1.12041,0.74421,0.39183,-1.48960,0.39030,0.45441,0.92739
14.06504,12.60733,0.98268,1.14668,0.08428,-0.13510,0.29529,0.17569,0.88792
13.71677,13.04682,0.70376,0.96043,0.30719,-0.53092,1.13758,-0.01302,-0.31691
13.26639,12.92218,1.00494,1.04776,0.41205,-1.18772,1.37549,-0.45287,0.80069
13.91713,12.67530,0.70160,1.20050,0.31154,-0.09520,0.14551,-0.07060,-0.66718
13.24180,12.86166,0.85732,0.91200,0.01900,-2.93748,0.11028,-0.39594,0.46092
13.88813,13.22651,1.47968,1.27012,0.39299,-0.52541,0.64971,-0.36194,-0.52588
13.95254,12.86215,1.18597,0.75222,0.12562,-1.96628,1.20414,-0.26451,0.00693
14.04529,12.77422,1.32638,0.72313,0.23287,-1.11691,0.10533,-0.20082,0.28213
13.88423,13.12624,1.43956,0.98344,0.02119,-0.69063,0.13974,-0.36621,0.56077
13.41439,13.12692,0.87343,0.84014,0.48836,-2.31430,0.24494,-0.23109,-0.51445
13.47772,12.70393,1.12493,0.75909,0.05134,-2.21545,1.49744,0.03083,0.28363
14.31681,12.45200,0.85099,0.97719,0.34194,-0.90156,0.90132,-0.47271,-0.03216
13.87825,12.89359,1.04999,0.80068,0.26286,-1.37604,0.52762,-0.28701,0.75277
13.79448,12.62669,1.13398,1.22499,0.26417,-0.81991,1.35353,-0.33277,-0.21925
13.69526,12.96715,1.44518,1.20832,0.27344,-0.25611,1.22680,0.34014,0.04243
13.66929,12.49988,1.38815,1.29327,0.08597,-2.81759,0.82019,0.10968,-0.04526
13.55531,13.00310,0.95791,0.91100,0.36264,-1.98860,1.07853,-0.18390,-0.46954
14.26322,12.60031,1.44798,0.82677,0.32598,-0.78885,0.00875,-0.15610,0.28599
13.25211,12.78794,1.10159,1.20513,0.06550,-1.33106,0.61607,0.07537,0.09554
13.92160,12.58961,1.12137,1.23281,0.32509,-2.72443,0.47803,0.28757,-0.66659
14.25575,12.68207,1.37586,1.06712,0.27517,-0.25331,1.47613,0.36218,-0.73957
14.08969,12.58316,0.79896,1.26919,0.12474,-1.19083,1.49222,-0.23426,0.72270
13.69770,12.52348,1.47940,0.72593,0.45948,-2.32350,1.04547,-0.41022,0.63118
13.92147,13.22752,1.34546,0.74171,0.43128,-1.45540,1.11411,0.34722,0.05504
13.42804,12.55471,1.38827,1.10440,0.34285,-0.75403,0.78710,-0.14264,0.28755
13.93006,12.77470,0.95754,0.75881,0.38937,-1.22723,0.81251,-0.46422,-0.98357
14.08316,12.42383,1.47227,1.18660,0.04240,-1.73349,0.73216,-0.24803,-0.20981
14.15270,12.68755,0.77419,0.96312,0.19891,-0.97151,0.82771,-0.40279,-0.06397
13.89852,12.57159,1.14531,1.25343,0.29928,-1.12305,0.65240,-0.28277,0.49871
13.54693,12.72450,0.78284,0.99380,0.37667,-2.01187,0.03326,0.46291,-0.29321
14.35755,12.90186,1.16406,0.71148,0.01918,-0.87612,1.12313,0.24079,-0.18089
13.66402,12.52137,0.87401,0.70998,0.41844,-2.13264,0.08166,0.11253,-0.36221
13.57749,12.83588,1.14500,0.96114,0.27102,-2.24335,0.69138,-0.13170,0.04778
13.63148,12.60147,1.24653,1.27174,0.46925,-1.81642,0.18279,0.03855,0.17200
13.96918,12.93080,1.39789,0.96055,0.13531,-0.14299,0.84012,0.22244,0.96709
13.32038,12.58525,0.76728,1.15755,0.24255,-0.11136,0.26569,0.46120,0.91448
14.12783,12.50231,0.97845,1.00279,0.20745,-2.54885,0.95026,-0.28204,0.36291
13.27146,12.98332,0.73134,1.29200,0.33370,-0.63863,0.99780,-0.32427,0.26714
13.56973,13.05916,1.00807,0.97953,0.09809,-0.31810,1.33876,0.07244,0.00115
13.77161,12.76926,1.17890,1.21361,0.31809,-2.52974,1.47404,0.24755,0.40480
13.24582,13.14740,1.32892,1.01059,0.08959,-0.19863,0.52889,0.36699,-0.48458
14.11476,13.07925,1.43458,1.11807,0.43211,-1.02796,0.88982,0.11668,-0.46277
14.05412,13.14522,1.28783,0.87487,0.17545,-1.32763,0.00721,-0.13553,-0.47341
13.90037,13.12237,1.25109,1.19285,0.01722,-1.77060,0.75216,-0.15793,-0.57920
14.22114,12.84855,0.79306,1.03032,0.27122,-2.44482,0.34177,-0.06483,0.00316
13.78882,12.62940,0.83689,1.26709,0.05219,-0.34334,0.87158,0.31690,0.16589
14.01847,13.06617,1.02634,0.95097,0.17466,-1.63007,0.92036,-0.26825,0.72098
13.42499,12.45569,0.78622,1.23142,0.03275,-2.88756,0.01204,0.22867,0.70926
13.72304,12.63116,0.87155,1.27960,0.10800,-1.44233,0.45003,-0.36949,0.72063
13.24105,12.63450,0.99789,0.84428,0.05208,-0.13706,1.28450,-0.08158,-0.35609
13.78010,12.75801,1.37233,1.26388,0.15239,-0.19936,1.42400,-0.24682,0.70275
13.76619,12.58817,0.74018,1.18594,0.19518,-2.09981,0.91932,-0.13086,0.16013
14.20846,13.17222,1.16487,1.22092,0.27649,-2.10620,1.45580,-0.48718,0.98235
14.27208,12.57645,1.49225,0.79198,0.05389,-2.22091,0.93159,-0.14758,0.57174
13.81225,12.55986,0.89847,0.83796,0.15041,-2.63391,0.41031,-0.32563,-0.58777
14.32827,13.13567,0.73443,1.06740,0.28546,-2.57881,1.44662,0.26809,0.31108
14.27770,12.62511,1.15649,1.29622,0.01192,-2.57742,0.66891,-0.33547,0.48239
14.38791,13.29470,1.30884,0.89162,0.16119,-0.63171,0.97741,0.07374,-0.03709
14.29428,12.42091,1.40352,0.86386,0.17546,-1.39319,0.45878,-0.32993,-0.65473
13.95801,13.01188,1.16828,0.95562,0.04173,-1.26960,0.01091,-0.19173,-0.05528
13.31502,13.23780,0.74538,1.27482,0.13108,-0.12694,0.34156,0.08368,-0.04101
13.24409,12.72559,0.94377,1.11953,0.14524,-2.37115,0.69554,0.21912,-0.12144
14.14509,12.55522,1.05439,1.17386,0.41740,-1.92379,1.33086,0.25483,0.55780
13.84164,12.49296,1.21686,0.81752,0.02466,-1.72278,1.36696,-0.26588,0.24906
13.83766,12.99724,1.04567,1.26119,0.25189,-1.82972,0.15035,-0.36289,0.55283
13.28839,13.27115,1.28701,1.05564,0.18391,-0.99346,1.27740,0.41119,-0.22918
13.37482,12.69166,0.93083,1.00083,0.41126,-2.09809,1.26412,-0.37201,0.57797
14.16187,12.41917,1.38610,0.78995,0.30158,-2.55969,1.47001,-0.45722,0.24565
13.48443,12.87742,1.28648,0.99452,0.38134,-1.06676,0.67137,-0.34410,0.07455
14.02211,13.07459,1.19695,1.05651,0.43097,-0.44868,1.44090,0.39687,-0.78239
13.90189,12.82706,0.82279,0.91085,0.47192,-2.31108,0.52186,0.00249,-0.10128
14.26605,12.88542,1.13988,0.71705,0.48999,-2.39460,0.10666,-0.00093,0.19811
13.25032,12.72436,1.40376,0.92371,0.31059,-1.16407,1.19659,-0.35626,-0.02493
13.35652,12.48340,0.80701,1.14557,0.46541,-1.94466,0.27859,-0.09704,0.34447
13.59883,12.97667,0.88982,1.23168,0.09418,-1.06559,0.82617,-0.35306,-0.31328
13.59328,12.65853,1.43142,1.21406,0.00752,-2.31059,1.24135,0.11126,0.01617
13.79693,12.75977,1.07296,0.98937,0.46619,-1.55548,0.14549,0.46796,0.19427
13.43367,13.01565,1.41576,0.80137,0.40471,-0.05081,0.37450,0.48583,0.94349
13.73790,12.67749,0.95588,0.92367,0.27434,-1.10015,0.25281,-0.43737,-0.86137
14.10362,12.66794,1.31674,1.02933,0.01474,-0.57148,0.26093,-0.28437,-0.89693
13.88636,12.57100,0.92640,0.82926,0.20290,-1.65585,1.48203,-0.01089,-0.43234
13.72636,12.57892,1.40077,1.03524,0.38593,-1.68551,0.57394,-0.49125,-0.44663
13.61551,12.95780,1.36293,1.25091,0.18040,-0.89535,1.24551,0.14144,-0.58492
13.25730,12.80134,1.29614,0.80675,0.43674,-2.10041,0.03163,-0.32978,0.21708
13.21326,12.88588,1.26308,1.01966,0.25584,-0.27748,1.00568,0.29591,0.09988
13.95101,12.78333,0.71478,0.85506,0.40835,-1.40083,0.62698,-0.11332,-0.85468
13.95178,13.06833,1.18114,1.17756,0.42720,-1.14461,1.36975,0.10153,0.22904
13.29136,12.93790,0.79851,0.86508,0.09672,-1.93925,0.73713,-0.19528,0.62653
13.96348,12.65459,1.08353,0.90610,0.18743,-2.16100,0.89597,-0.17098,0.10003
13.42114,12.40090,1.26539,0.90593,0.28502,-1.70309,0.02110,0.01407,0.42699
13.81873,13.23398,1.07557,1.10072,0.21380,-0.03176,0.24921,0.30002,0.51307
13.74686,12.68086,1.41862,0.74074,0.49080,-2.93957,0.36183,-0.47751,0.43542
14.28815,12.96476,1.24877,1.02480,0.46112,-1.03335,0.23040,0.35580,0.24214
14.00295,12.85092,1.09573,1.25157,0.40335,-2.02936,0.12287,-0.21178,0.53771
13.21559,13.21538,0.88630,0.96461,0.29183,-0.15637,1.13748,0.44028,-0.11880
13.81083,12.97394,0.98428,1.01132,0.02632,-2.26647,0.72702,-0.35376,0.48844
14.08504,13.28525,0.94078,1.27121,0.19727,-1.09808,0.73188,-0.24840,-0.66226
13.43154,12.80244,1.18721,0.97955,0.33559,-0.17579,0.41894,0.12686,-0.11532
13.74093,12.75062,1.27579,1.23747,0.33549,-0.14602,1.49627,0.02290,-0.72035
13.57453,12.49617,0.74208,1.08295,0.14857,-2.11674,1.16909,-0.02449,-0.05726
13.44246,12.59281,1.17339,0.88963,0.12858,-0.02277,0.27436,0.36644,-0.66938
13.46018,12.65625,1.40210,0.79524,0.26443,-1.91649,0.72456,-0.00749,-0.08502
13.92427,12.98067,1.25748,1.22154,0.28159,-0.00528,0.77540,-0.32051,-0.05854
14.24060,12.44270,1.36043,1.03095,0.47317,-1.57527,0.53954,-0.49787,-0.01471
13.91321,12.88101,1.14832,0.87042,0.14084,-0.81082,1.12830,-0.02756,0.22507
14.26523,13.09083,0.92502,1.01600,0.31610,-2.02011,0.91972,-0.15167,0.11503
13.83103,12.93862,0.71078,0.97107,0.27887,-0.55363,1.49460,0.31829,0.32063
14.28140,12.98265,0.71662,1.28618,0.12367,-0.82990,1.25553,-0.24176,-0.39519
14.19135,13.08349,0.78917,0.92374,0.28365,-1.97603,0.08133,-0.23161,-0.85076
14.08286,12.86748,1.21029,0.77711,0.20164,-1.22487,0.86178,0.01066,-0.03166
